Total Calls,Total Folds,Total Raises,Total Bets,Total Hands,Preflop Calls,Preflop Raises,Preflop Folds,VPIP,PFR,Agression Factor,Number of Shows,Number of Stands,Profit Yes or No
111.0,100.0,8.0,23.0,126.0,66.0,3.0,66.0,54.76,2.38,0.28,24.0,1.0,0.0
51.0,70.0,23.0,17.0,152.0,52.0,21.0,81.0,48.03,13.82,0.78,21.0,2.0,1.0
25.0,51.0,24.0,12.0,73.0,13.0,20.0,40.0,45.21,27.4,1.44,14.0,0.0,0.0
68.0,88.0,4.0,29.0,111.0,41.0,2.0,67.0,38.74,1.8,0.49,41.0,2.0,0.0
48.0,130.0,34.0,28.0,157.0,28.0,27.0,101.0,35.03,17.2,1.29,34.0,0.0,1.0
20.0,51.0,6.0,8.0,61.0,9.0,4.0,47.0,21.31,6.56,0.7,8.0,0.0,0.0
40.0,115.0,55.0,42.0,158.0,21.0,51.0,87.0,45.57,32.28,2.42,30.0,0.0,1.0
0.0,0.0,0.0,0.0,157.0,61.0,18.0,84.0,50.32,11.46,0.0,0.0,0.0,0.0
17.0,29.0,16.0,12.0,45.0,8.0,14.0,22.0,48.89,31.11,1.65,11.0,0.0,0.0
14.0,37.0,11.0,9.0,46.0,8.0,7.0,27.0,32.61,15.22,1.43,4.0,0.0,0.0
20.0,34.0,9.0,13.0,46.0,14.0,6.0,25.0,43.48,13.04,1.1,7.0,0.0,1.0
0.0,0.0,0.0,0.0,46.0,17.0,13.0,17.0,65.22,28.26,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,31.0,11.0,1.0,21.0,38.71,3.23,0.0,0.0,0.0,0.0
49.0,107.0,11.0,28.0,123.0,30.0,10.0,87.0,32.52,8.13,0.8,17.0,0.0,1.0
213.0,49.0,45.0,39.0,115.0,77.0,37.0,4.0,99.13,32.17,0.39,45.0,0.0,1.0
42.0,70.0,9.0,19.0,82.0,30.0,8.0,52.0,46.34,9.76,0.67,5.0,0.0,0.0
103.0,149.0,72.0,124.0,247.0,61.0,55.0,119.0,46.96,22.27,1.9,72.0,1.0,1.0
56.0,158.0,19.0,17.0,182.0,29.0,16.0,136.0,24.73,8.79,0.64,14.0,1.0,0.0
57.0,104.0,36.0,39.0,150.0,30.0,29.0,83.0,39.33,19.33,1.32,15.0,0.0,0.0
83.0,212.0,45.0,35.0,254.0,50.0,39.0,172.0,35.04,15.35,0.96,23.0,0.0,0.0
0.0,0.0,0.0,0.0,249.0,72.0,30.0,147.0,40.96,12.05,0.0,0.0,0.0,0.0
4.0,10.0,4.0,5.0,16.0,4.0,3.0,9.0,43.75,18.75,2.25,4.0,0.0,0.0
94.0,208.0,63.0,52.0,260.0,58.0,57.0,150.0,44.23,21.92,1.22,32.0,1.0,0.0
208.0,183.0,38.0,68.0,264.0,121.0,33.0,111.0,58.33,12.5,0.51,37.0,0.0,0.0
58.0,199.0,69.0,61.0,267.0,35.0,61.0,168.0,35.96,22.85,2.24,23.0,1.0,1.0
53.0,219.0,70.0,48.0,268.0,28.0,57.0,183.0,31.72,21.27,2.23,29.0,0.0,1.0
183.0,186.0,24.0,60.0,257.0,112.0,14.0,143.0,49.03,5.45,0.46,64.0,0.0,1.0
77.0,104.0,17.0,28.0,132.0,43.0,14.0,77.0,43.18,10.61,0.58,22.0,1.0,1.0
52.0,102.0,22.0,14.0,120.0,27.0,19.0,81.0,38.33,15.83,0.69,9.0,0.0,0.0
61.0,178.0,60.0,44.0,229.0,38.0,49.0,134.0,37.99,21.4,1.7,39.0,0.0,0.0
38.0,70.0,15.0,16.0,88.0,23.0,13.0,56.0,40.91,14.77,0.82,19.0,3.0,1.0
4.0,5.0,2.0,2.0,60.0,31.0,12.0,25.0,71.67,20.0,1.0,17.0,0.0,0.0
30.0,59.0,6.0,12.0,65.0,22.0,6.0,47.0,43.08,9.23,0.6,15.0,1.0,0.0
94.0,144.0,38.0,84.0,206.0,54.0,32.0,113.0,41.75,15.53,1.3,32.0,0.0,1.0
4.0,8.0,5.0,1.0,11.0,4.0,2.0,5.0,54.55,18.18,1.5,2.0,0.0,0.0
74.0,187.0,50.0,44.0,229.0,48.0,40.0,141.0,38.43,17.47,1.27,26.0,0.0,1.0
50.0,57.0,15.0,13.0,76.0,25.0,11.0,43.0,47.37,14.47,0.56,21.0,0.0,0.0
0.0,0.0,0.0,0.0,213.0,78.0,42.0,101.0,56.34,19.72,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,152.0,63.0,12.0,75.0,49.34,7.89,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,60.0,24.0,4.0,33.0,46.67,6.67,0.0,0.0,0.0,0.0
23.0,89.0,27.0,18.0,122.0,11.0,25.0,83.0,29.51,20.49,1.96,30.0,0.0,0.0
4.0,8.0,1.0,0.0,12.0,4.0,1.0,8.0,41.67,8.33,0.25,8.0,1.0,0.0
66.0,107.0,4.0,12.0,126.0,39.0,3.0,88.0,33.33,2.38,0.24,19.0,1.0,0.0
36.0,117.0,40.0,29.0,162.0,16.0,37.0,94.0,32.72,22.84,1.92,35.0,0.0,1.0
49.0,118.0,45.0,50.0,162.0,33.0,39.0,91.0,44.44,24.07,1.94,35.0,0.0,0.0
0.0,0.0,0.0,0.0,157.0,57.0,12.0,94.0,43.95,7.64,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,144.0,51.0,27.0,74.0,54.17,18.75,0.0,0.0,0.0,0.0
62.0,140.0,20.0,14.0,161.0,39.0,15.0,115.0,33.54,9.32,0.55,17.0,1.0,0.0
44.0,81.0,13.0,26.0,103.0,25.0,12.0,66.0,35.92,11.65,0.89,13.0,0.0,1.0
52.0,38.0,19.0,15.0,63.0,30.0,12.0,24.0,66.67,19.05,0.65,15.0,0.0,0.0
84.0,154.0,46.0,24.0,193.0,43.0,33.0,128.0,39.38,17.1,0.83,27.0,1.0,1.0
47.0,69.0,39.0,39.0,108.0,27.0,31.0,53.0,53.7,28.7,1.66,22.0,0.0,0.0
11.0,9.0,5.0,3.0,14.0,4.0,4.0,6.0,57.14,28.57,0.73,3.0,0.0,0.0
61.0,164.0,38.0,26.0,196.0,40.0,30.0,138.0,35.71,15.31,1.05,15.0,0.0,1.0
50.0,161.0,42.0,32.0,196.0,31.0,33.0,141.0,32.65,16.84,1.48,17.0,0.0,1.0
44.0,162.0,51.0,33.0,196.0,25.0,39.0,136.0,32.65,19.9,1.91,17.0,0.0,1.0
0.0,0.0,0.0,0.0,141.0,32.0,19.0,101.0,36.17,13.48,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,59.0,25.0,11.0,31.0,61.02,18.64,0.0,0.0,0.0,0.0
